Código,Clase,Marca-Modelo,Categoria,Formato,Canales,Filas,Columnas,Extra,Contenedores,Máquinas,PDVs
C0024,Bebidas Calientes/Preparadas,BIANCHI - LEI 600 TOUCH 2 C,,1,30,6,5,0,10,175,173
C0025,Bebidas Calientes/Preparadas,BIANCHI - LEI 400,,1,10,10,1,0,9,6,2
C0026,Bebidas Calientes/Preparadas,BIANCHI - LEI 600 PLUS 2CUPS,,1,30,6,5,0,10,5,3
C0027,Bebidas Calientes/Preparadas,BIANCHI - LEI 700 TOUCH,,1,20,4,5,0,10,10,9
C0028,Bebidas Calientes/Preparadas,JOFEMAR - S-500,,1,1,1,1,0,0,21,0
C0029,Bebidas Calientes/Preparadas, - DOCTOR COFFEE F2 PLUS,,1,1,1,1,0,0,2,0
C0030,Bebidas Calientes/Preparadas,DUCALE - CITY 700 2 C,,1,22,11,2,0,11,3,2
C0031,Bebidas Calientes/Preparadas,FAS - 400 T,,1,20,20,1,0,8,7,5
C0032,Bebidas Calientes/Preparadas,FAS - LYDIA 2 C,,1,24,3,8,0,10,28,27
C0033,Bebidas Calientes/Preparadas,FAS - PERLA ILLY,,1,15,5,3,0,9,15,2
C0034,Bebidas Calientes/Preparadas,FAS - VICTORIA 2 C,,1,25,5,5,0,10,1,1
C0035,Bebidas Calientes/Preparadas,NECTA - KORINTO PLUS,,1,12,12,1,0,15,1,0
C0036,Bebidas Calientes/Preparadas,RHEA - LARHEA VARIPLUS,,1,16,4,4,0,10,25,22
C0037,Bebidas Calientes/Preparadas,NECTA - ASTRO,,1,18,9,2,0,10,35,17
C0038,Bebidas Calientes/Preparadas,NECTA - ASTRO P,,1,18,9,2,0,10,4,0
C0039,Bebidas Calientes/Preparadas,NECTA - CANTO 1 C,,1,20,10,2,0,10,16,7
C0040,Bebidas Calientes/Preparadas,NECTA - NECTA CANTO DOBLE ESPRESSO DUAL CUP,,1,20,10,2,0,11,5,4
C0041,Bebidas Calientes/Preparadas,NECTA - NECTA CANTO 2 C,,1,20,10,2,0,11,25,8
C0042,Bebidas Calientes/Preparadas,NECTA - CONCERTO 2 C,,1,20,10,2,0,9,11,11
C0043,Bebidas Calientes/Preparadas,NECTA - CONCERTO BLUE 2 C,,1,18,9,2,0,9,6,3
C0044,Bebidas Calientes/Preparadas,NECTA - Necta Kalea Plus 2 ES + 1 IN,,1,10,2,5,0,6,5,2
C0045,Bebidas Calientes/Preparadas,NECTA - KARISMA,,1,12,12,1,0,15,16,5
C0046,Bebidas Calientes/Preparadas,NECTA - KREA,,1,16,4,4,0,7,7,4
C0047,Bebidas Calientes/Preparadas,NECTA - BRIO 3 BLUE LAVAZZA,,1,12,6,2,0,9,4,2
C0048,Bebidas Calientes/Preparadas,NECTA - KIKKO BLUE LAVAZZA,,1,16,8,2,0,7,20,3
C0049,Bebidas Calientes/Preparadas,NECTA - MAESTRO 2 C,,1,1,1,1,0,0,1,1
C0050,Bebidas Calientes/Preparadas,NECTA - NECTA MAESTRO TOUCH 2 C,,1,32,4,8,0,12,14,14
C0051,Bebidas Calientes/Preparadas,NECTA - SOLISTA,,1,10,5,2,0,7,3,1
C0052,Bebidas Calientes/Preparadas,NECTA - VENEZIA,,1,8,4,2,0,8,1,1
C0053,Bebidas Calientes/Preparadas,NESPRESSO - NESPRESSO,,1,6,1,6,0,9,16,2
C0054,Bebidas Calientes/Preparadas,NESPRESSO - TOWER MOMENTO,,1,8,1,8,0,9,11,4
C0055,Bebidas Calientes/Preparadas,AZKOYEN - VITRO M5,,1,20,4,5,0,9,8,5
C0056,Bebidas Calientes/Preparadas,AZKOYEN - VITRO S5,,1,20,5,4,0,8,34,29
C0057,Bebidas Calientes/Preparadas,AZKOYEN - VITRO X5,,1,20,5,4,0,10,12,5
C0058,Bebidas Calientes/Preparadas,AZKOYEN - WINNING E7,,1,1,1,1,0,0,1,0
C0059,Bebidas Calientes/Preparadas,NECTA - BRIO UP,,1,14,7,2,0,9,2,2
C0060,Bebidas Calientes/Preparadas,AZKOYEN - VITALE S,,1,7,1,7,0,4,5,0
C0061,Bebidas Calientes/Preparadas,NECTA - CANTO BLUE 2 C,,1,20,10,2,0,10,0,0
C0062,Bebidas Calientes/Preparadas,NECTA - ASTRO NFD,,1,18,9,2,0,10,2,0
C0063,Bebidas Calientes/Preparadas,BIANCHI - LEI 770-2ES-6D,,1,1,1,1,0,0,1,0
C0064,Bebidas Calientes/Preparadas,AZKOYEN - VITRO S1,,1,20,4,5,0,10,2,0
C0065,Bebidas Calientes/Preparadas,BIANCHI - GAIA,,1,8,4,2,0,3,1,0
C0066,Bebidas Calientes/Preparadas,NECTA - OPERA ONE 2C,,1,20,10,2,0,10,104,99
C0067,Bebidas Calientes/Preparadas,RHEA - LARHEA VARIPLUS 2C,,1,25,5,5,0,11,32,30
C0068,Bebidas Calientes/Preparadas,NECTA - SAECO NEW ROYAL BLACK,,1,1,1,1,0,0,1,1
C0069,Bebidas Calientes/Preparadas,RHEA - RHEA TT1,,1,24,4,6,0,9,16,15
C0070,Bebidas Calientes/Preparadas,BIANCHI - LEI 700 TOUCH 2CUPS,,1,30,6,5,0,11,1,1
C0071,Bebidas Calientes/Preparadas,NECTA - BARISTA 600 TOUCH ONE 1C ,,1,36,6,6,0,11,10,10
C0072,Bebidas Calientes/Preparadas, - JURA W4,,1,1,1,1,0,0,1,1
C0073,Bebidas Calientes/Preparadas,NECTA - BARISTA 200,,1,10,5,2,0,7,2,2
CO0001,Compactadoras,FAS - TRITECH,,1,0,0,0,0,0,2,0
F0001,Bebidas Frías/Envasadas,SANDENVENDO - G-DRINK DV9,,11,63,7,9,0,0,44,38
F0002,Bebidas Frías/Envasadas,SANDENVENDO - G-DRINK DC6,,11,42,7,6,0,0,122,113
F0003,Bebidas Frías/Envasadas,AZKOYEN - PALMA B6G,,1,10,10,1,0,0,150,69
F0004,Bebidas Frías/Envasadas,AZKOYEN - PALMA B9,,1,9,9,1,0,0,10,7
F0005,Bebidas Frías/Envasadas,DIXIE NARCO - 360,,1,9,1,9,0,0,33,9
F0006,Bebidas Frías/Envasadas,JOFEMAR - ARTIC AGUA V3,,1,2,1,2,0,0,30,14
F0007,Bebidas Frías/Envasadas,VENDO - VDI 544,,1,10,1,10,0,0,37,5
F0008,Bebidas Frías/Envasadas,VENDO - VDI 545,,1,8,1,8,0,0,23,9
F0009,Bebidas Frías/Envasadas,SANDENVENDO - VDI 609/5,,1,5,1,5,0,0,72,53
F0010,Bebidas Frías/Envasadas,SANDENVENDO - SVE 217,,1,6,6,1,0,0,76,49
F0011,Bebidas Frías/Envasadas,SANDENVENDO - VDI 680,,1,10,1,10,0,0,8,4
F0012,Bebidas Frías/Envasadas,SANDENVENDO - VDI 480/7,,1,7,1,7,0,0,85,70
F0013,Bebidas Frías/Envasadas,VENDO - V264,,1,1,1,1,0,0,0,0
F0014,Bebidas Frías/Envasadas,AZKOYEN - FAN 2,,1,6,6,1,0,0,6,2
F0015,Bebidas Frías/Envasadas,AZKOYEN - FAN 246,,1,5,5,1,0,0,1,1
F0016,Bebidas Frías/Envasadas,AZKOYEN - PALMA B5,,1,8,8,1,0,0,11,7
F0017,Bebidas Frías/Envasadas,BIANCHI - BVM 582,,1,8,8,1,0,0,3,2
F0018,Bebidas Frías/Envasadas,DIXIE NARCO - 368,,1,8,1,8,0,0,39,17
F0019,Bebidas Frías/Envasadas,DIXIE NARCO - 501,,1,9,1,9,0,0,16,3
F0020,Snack/Multiproducto,FAS - FASTER 1050 CAJON XL,,11,60,6,10,0,0,2,2
F0021,Bebidas Frías/Envasadas,SANDENVENDO - FV 392/10,,1,6,1,6,0,0,6,6
F0022,Snack/Multiproducto,GREENSYSTEM - ST 2.1 (nevera),,1,144,12,12,0,0,3,2
F0023,Bebidas Frías/Envasadas,FRIGOGLASS - ICOOL 300 (NEVERA),,1,1,1,1,0,0,2,0
F0024,Bebidas Frías/Envasadas,JOFEMAR - ARTIC 272,,1,7,7,1,0,0,14,5
F0025,Bebidas Frías/Envasadas,JOFEMAR - ARTIC 510,,1,1,1,1,0,0,1,0
F0026,Bebidas Frías/Envasadas,SANDENVENDO - NARROW STACK  682/10,,1,10,10,1,0,0,10,9
F0027,Bebidas Frías/Envasadas,NECTA - ZETA 450/5,,1,5,5,1,0,0,8,3
F0028,Bebidas Frías/Envasadas,NECTA - DIESIS 500,,1,5,1,5,0,0,20,15
F0029,Bebidas Frías/Envasadas,NECTA - DIESIS 700,,1,9,9,1,0,0,33,26
F0030,Bebidas Frías/Envasadas,NECTA - ZETA 550/9,,1,9,1,9,0,0,1,1
F0031,Bebidas Frías/Envasadas, - NEVERA MERLIN,,1,1,1,1,0,0,1,0
F0032,Bebidas Frías/Envasadas,"ROYAL VENDORS - AGUA 1,5L",,1,1,1,1,0,0,1,1
F0033,Bebidas Frías/Envasadas,SANDENVENDO - VENDO 0.5 CC CEDID,,1,8,8,1,0,0,3,3
F0034,Bebidas Frías/Envasadas,SANDENVENDO - VENDO 380 CC,,1,1,1,1,0,0,0,0
F0035,Bebidas Frías/Envasadas,SANDENVENDO - VENDO 390 CC,,1,7,1,7,0,0,1,1
F0036,Bebidas Frías/Envasadas,SANDENVENDO - 690/5,,1,5,1,5,0,0,1,0
F0037,Bebidas Frías/Envasadas,SANDENVENDO - G-Drink DL9,,11,54,6,9,0,0,23,20
F0038,Bebidas Frías/Envasadas,SANDENVENDO - VDI550/8,,1,8,8,1,0,0,4,3
F0039,Bebidas Frías/Envasadas,SANDENVENDO - VDI 254/7,,1,7,7,1,0,0,5,2
F0040,Bebidas Frías/Envasadas,SANDENVENDO - FV 544,,1,10,10,1,0,0,21,16
F0041,Bebidas Frías/Envasadas,SANDENVENDO - FV 392EM,,1,10,5,2,0,0,45,9
F0042,Bebidas Frías/Envasadas,SANDENVENDO - FV 407,,1,8,8,1,0,0,6,1
F0043,Bebidas Frías/Envasadas,SANDENVENDO - G-DRINK DV6,,1,42,7,6,0,0,15,15
F0044,Bebidas Frías/Envasadas,SANDENVENDO - GSNACK,,1,1,1,1,0,0,0,0
F0045,Bebidas Frías/Envasadas,SANDENVENDO - GDRINK SVE DR6,,1,42,7,6,0,0,9,8
F0046,Bebidas Frías/Envasadas,SANDENVENDO - SVE EC47,,1,7,7,1,0,0,1,1
F0047,Bebidas Frías/Envasadas,SANDENVENDO - SVE CFX-HC2,,1,10,1,10,0,0,64,50
F0049,Bebidas Frías/Envasadas,SANDENVENDO - V264,,1,8,1,8,0,0,2,0
F0050,Bebidas Frías/Envasadas,SANDENVENDO - VDI 580,,1,8,8,1,0,0,5,3
F0051,Bebidas Frías/Envasadas,SANDENVENDO - VDI 100,,1,5,5,1,0,0,3,1
F0052,Bebidas Frías/Envasadas,SANDENVENDO - VV611,,1,5,1,5,0,0,3,1
F0055,Bebidas Frías/Envasadas, - TC 501 INNOVENDI (Nevera),,1,1,1,1,0,0,2,0
F0056,Bebidas Frías/Envasadas,DIXIE NARCO - 600 E,,1,9,1,9,0,0,0,0
F0057,Bebidas Frías/Envasadas,DIXIE NARCO - DNCB 348,,1,9,1,9,0,0,41,39
F0058,Bebidas Frías/Envasadas,SANDENVENDO - SVE690/6,,1,6,6,1,0,0,1,1
F0059,Bebidas Frías/Envasadas,SANDENVENDO - VDI 609/10,,1,10,10,1,0,0,24,12
F0060,Bebidas Frías/Envasadas,SANDENVENDO - V 217/6,,1,6,6,1,0,0,3,2
F0061,Bebidas Frías/Envasadas,SANDENVENDO - S-C47,,1,7,1,7,0,0,51,51
FA0001,Fuente de Agua, - Aquaservice,,1,1,1,1,0,0,64,38
FA0002,Fuente de Agua,CANALETAS - FUENTE AGUA,,1,1,1,1,0,0,9,9
G0001,Genérica/Otros, - FICTICIO,,1,0,0,0,0,0,29,29
G0002,Genérica/Otros, - RECARGADOR TARJETA,,1,0,0,0,0,0,1,0
M0001,Combi - Mixtas (Caliente - Frío),NESPRESSO - ANTEA,,1,11,1,7,4,4,4,4
MC0001,Máquinas de cambio, - MAQUINA DE CAMBIO,,1,0,0,0,0,0,1,0
O0001,OCS/Café Capsula-Grano, - ESPRESSP POINT 950,,1,1,1,1,0,0,3,3
O0002,OCS/Café Capsula-Grano, - PININFARINA 2100,,1,1,1,1,0,0,3,2
O0003,OCS/Café Capsula-Grano, - LB 2500 PLUS,,1,1,1,1,0,0,1,1
O0004,OCS/Café Capsula-Grano, - LB 2600,,1,1,1,1,0,0,1,1
O0005,OCS/Café Capsula-Grano, - LB 800 MINI,,1,1,1,1,0,0,1,1
S0001,Snack/Multiproducto,FAS - 900 ADVANCED,,11,48,6,8,0,0,256,221
S0002,Snack/Multiproducto,FAS - 1050 ADVANCED,,11,60,6,10,0,0,262,224
S0003,Snack/Multiproducto,AZKOYEN - PALMA+ Hz87,,AA,48,6,8,0,0,12,7
S0004,Snack/Multiproducto,AZKOYEN - MISTRAL +85H,,AA,60,6,10,0,0,5,4
S0005,Snack/Multiproducto,NECTA - RONDO,,10,48,6,8,0,0,47,29
S0006,Snack/Multiproducto,NECTA - SNAKKY,,10,42,7,6,0,0,60,36
S0007,Snack/Multiproducto,NECTA - SFERA,,10,48,6,8,0,0,91,39
S0008,Snack/Multiproducto,NECTA - SAMBA,,10,48,6,8,0,0,5,3
S0009,Snack/Multiproducto,NECTA - SAMBA TOP,,10,48,6,8,0,0,85,66
S0010,Snack/Multiproducto,NECTA - TANGO,,10,48,6,8,0,0,115,100
S0012,Snack/Multiproducto,AZKOYEN - MISTRAL+ H70,,AA,56,7,8,0,0,8,6
S0013,Snack/Multiproducto,BIANCHI - ARIA L EVO MASTER,,A11,48,6,8,0,0,119,117
S0014,Snack/Multiproducto,BIANCHI - ARIA L EVO SLAVE,,A11,48,6,8,0,0,6,3
S0015,Snack/Multiproducto,BIANCHI - BVM 636,,A11,40,5,8,0,0,2,0
S0016,Snack/Multiproducto,BIANCHI - BVM 671,,1,1,1,1,0,0,1,0
S0017,Snack/Multiproducto,BIANCHI - BVM 676 ,,A11,48,6,8,0,0,3,1
S0018,Snack/Multiproducto,BIANCHI - FLESSY M ,,A11,36,6,6,0,0,1,0
S0019,Snack/Multiproducto,BIANCHI - VEGA 700,,1,30,5,6,0,0,0,0
S0020,Snack/Multiproducto,BIANCHI - VISTA L SL COMBI,,A11,48,6,8,0,0,1,1
S0021,Snack/Multiproducto,FAS - 750 ADVANCED,,11,42,7,6,0,0,24,24
S0022,Snack/Multiproducto,FAS - 750 BUSINNES,,11,36,6,6,0,0,6,6
S0023,Snack/Multiproducto,FAS - YOUNG DUETTO,,1,1,1,1,0,0,5,0
S0024,Snack/Multiproducto,FAS - ELETTRA,,11,36,6,6,0,0,1,1
S0025,Snack/Multiproducto,FAS - KRISTAL,,11,36,6,6,0,0,4,2
S0026,Snack/Multiproducto,FAS - YOUNG 170,,1,36,6,6,0,0,1,1
S0027,Snack/Multiproducto,FAS - YOUNG 183,,11,42,7,6,0,0,25,25
S0028,Snack/Multiproducto,IARP - LASER,,11,36,6,6,0,0,1,1
S0029,Snack/Multiproducto,IARP - LONDON 8,,11,48,6,8,0,0,3,2
S0030,Snack/Multiproducto,MANEA - KRONOS MSX 12,,10 Ext,72,6,12,0,0,8,7
S0031,Snack/Multiproducto,MANEA - KRYOS 12,,10 Ext,72,6,12,0,0,4,4
S0032,Snack/Multiproducto,NECTA - JAZZ,,10,42,7,6,0,0,20,20
S0033,Snack/Multiproducto,NECTA - MELODIA,,10,36,6,6,0,0,3,2
S0034,Snack/Multiproducto,NECTA - MINI SNAKKY,,10,24,4,6,0,0,3,1
S0035,Bebidas Frías/Envasadas,NECTA - SINFONIA 6,,1,1,1,1,0,0,3,0
S0036,Bebidas Frías/Envasadas,NECTA - SINFONIA 9,,11,63,7,9,0,0,6,3
S0037,Snack/Multiproducto,NECTA - SMART,,1,1,1,1,0,0,3,1
S0038,Snack/Multiproducto,NECTA - SNAKKY MAX,,10,42,7,6,0,0,18,13
S0039,Snack/Multiproducto,NECTA - SNAKKY SLAVE,,10,36,6,6,0,0,1,0
S0040,Snack/Multiproducto,NECTA - TWIST FOOD,,10,42,7,6,0,0,11,11
S0041,Snack/Multiproducto,NECTA - SWING FOOD,,10,48,6,8,0,0,19,18
S0042,Snack/Multiproducto,WURLITZER - 640,,10,48,6,8,0,0,6,1
S0043,Snack/Multiproducto,WURLITZER - 650,,10,60,6,10,0,0,2,1
S0044,Snack/Multiproducto,WURLITZER - SNACK B6,,1,1,1,1,0,0,1,1
S0045,Snack/Multiproducto,WURLITZER - SNACK SSL,,10,30,5,6,0,0,1,0
S0046,Snack/Multiproducto, - AD4 MASTER,,11,24,6,4,0,0,1,1
S0047,Snack/Multiproducto,SANDENVENDO - G-SNACK,,11,60,6,10,0,0,2,2
S0049,Snack/Multiproducto,SANDENVENDO - SVE 810,,10,48,6,8,0,0,2,0
S0050,Snack/Multiproducto,WURLITZER - BL,,10 Ext,60,6,10,0,0,8,3
S0051,Snack/Multiproducto,WURLITZER - B540,,1,1,1,1,0,0,1,0
S0052,Snack/Multiproducto,NECTA - VIVACE SL,,11,36,6,6,0,0,1,1
S0053,Snack/Multiproducto,SANDENVENDO - SVE SD6,,10,36,6,6,0,0,1,1
S0054,Snack/Multiproducto,NECTA - ORCHESTRA,,10,60,6,10,0,0,66,65
S0056,Snack/Multiproducto,AZKOYEN - Palma+ H70,,AA,36,6,6,0,0,1,1
S0057,Snack/Multiproducto,PICKIO - Fridge PLUS,,11,18,6,3,0,0,5,5
S0058,Snack/Multiproducto,FAS - EASY 6000 PRO,,1,1,1,1,0,0,1,1
S055,Snack/Multiproducto,NECTA - SOPRANO,,10,70,7,10,0,0,3,3
S056,Snack/Multiproducto,FAS - FAS 900 DIR,,11,56,7,8,0,0,0,0
Z0001,Bebidas Frías/Envasadas, - Z-130,,1,1,1,1,0,0,6,2
Z0002,Zumos, - PASCUAL ZUMO,,1,1,1,1,0,0,1,1
