Código,Nombre,Obsoleto,Fabricante,Categoría,Subcategoría,Categoría de precios
124919,LM CLASSICO YORK BACON CREMA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124920,LM CLASICO ATUN PIMIENTOS,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124921,LM CLASICO TORTILLA-YORK,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124922,LM CLASICO QUESO NUEZ,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124923,LM CLASICO ENSALADILLA RUSA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124926,LM CLASICO ENSALADA DE PAVO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124927,LM CLASICO CHORIZO PAMPLONA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124928,SAND.CLASICO SALAMI,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124929,SAND.CLASICO BARBACOA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124930,LM CLASICO ENSALADA DE POLLO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124932,LM CLASICO PAVO CHEDDAR,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124935,LM CLASICO PINTXO A LA DONOSTIARRA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124936,LM CLASICO INTEGRAL PAVO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124937,LM INTEGRAL MIXTO ESPECIAL,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124940,LM GOURMET POLLO Y MOSTAZA MIEL,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH GOURMET,
124947,LM BRIOCH 2UN MIXTO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124948,LM BRIOCH 2UN CHORIZO PAMPLONA,False,SANDWICH LM,PRODUCTO FRESCO,BOCADILLO,
124949,LM BRIOCH 2UN SALAMI Y QUESO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124950,LM BRIOCH 1UN MIXTO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124951,BRIOCH 1UNID CHORIZO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124952,LM EMPANADA DE  ATUN,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH GOURMET,
124953,LM CROISSANT YORK Y QUESO,False,SANDWICH LM,PRODUCTO FRESCO,BOCADILLO,
124960,LM CROISSANT SERRANO Y QUESO,False,SANDWICH LM,PRODUCTO FRESCO,BOCADILLO,
124961,LM WRAP POLLO Y PARMESANO,False,SANDWICH LM,PRODUCTO FRESCO,BOCADILLO,
124962,LM WRAP YORK Y 4QUESOS,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH GOURMET,
124963,LM WRAP BACON Y MOZZARELLA,False,SANDWICH LM,PRODUCTO FRESCO,BOCADILLO,
124967,LM ENSALADA CESAR,False,SANDWICH LM,PRODUCTO FRESCO,ENSALADA,
124968,LM ENSALADA LIGERA,False,SANDWICH LM,PRODUCTO FRESCO,ENSALADA,
124969,LM BLOOMER POLLO Y BARBACOA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124970,"LM BLOOMER PAVO BRASEADO, QUESO Y ESPINACAS",False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
127041,LECHE SEMIDESNAT S/LACTOSA BRICK 200ML,False,CALIDAD PASCUAL,BEBIDA CALIENTE,LECHE,
127181,HARIBO FAVORIT RED MIX 90G 18U,False,HARIBO,SNACK,CHICLE & CARAMELOS,
128125,AZUCAR BLANCO SERUNION TUBO 5GM,False,EXCELENT MARKET - PLATAFORMA SECO MAD,BEBIDA CALIENTE,AZUCAR,
128126,AZUCAR MORENO SERUNION TUBO 5 G,False,EXCELENT MARKET - PLATAFORMA SECO MAD,BEBIDA CALIENTE,AZUCAR,
128378,ALBONDIGAS GUISADAS (1R) 275GR,False,CASA MAS S.L.,PRODUCTO FRESCO,PLATOS 5 GAMA,
128468,NESPRESSO VAINILLA CAPSULA,False,NESPRESSO,BEBIDA CALIENTE,CAPSULA,
131958,COCA COLA ZERO SIN CAFEINA PET 50 CL,False,COCA COLA,BEBIDA FRIA,PET,
132084,CAFE SOLUBLE LIOFILIZADO DESCAFEINADO,False,"TEYCOVAL 2010,S.L.",BEBIDA CALIENTE,CAFÉ SOLUBLE,
132902,SUNBITES SAL MARINA 28G,False,PEPSICO,SNACK SALUDABLE,PATATAS,
132917,ZANAHORIA BASTON CON HUMMUS 100G,False,ÑAMING,PRODUCTO FRESCO,FRUTA-VERDURA Y CREMAS,
133209,ALMENDRAS TOSTADAS SIN SAL,False,"FRIT RAVICH, S. L.",SNACK SALUDABLE,FRUTO SECO,
133211,COCTEL NATUMIX S/SAL 35GRS,False,FRIT RAVIC,SNACK SALUDABLE,FRUTO SECO,
133706,ACTIVIA DRINK  FRESA KIWI 280G,False,DANONE,BEBIDA FRIA,BEBIDA LÁCTEA,
134167,ÑAMING TCUIDA PRIMAVERA 130G,False,ÑAMING,PRODUCTO FRESCO,REFERENCIAS SALUDABLES,
134782,SALMOREJO 250ML,False,PEPSICO,BEBIDA FRIA,ZUMO,
134783,VASO HUHTAMAKI PAPEL BIODEGRADABLE 192ML,False,HARIBO,BEBIDA CALIENTE,VASOS,
134784,SARIALIS CHOCONEGRO S/GLUTEN S/AZU,False,NUTRICION & SANTÉ,SNACK,PRODUCTO GYM,
135423,VITAMIN WELL RELOAD PET 50CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
135533,TORTA DE ALGARROBO,False,DULCEBERMEJA,SNACK,BOLLERÍA,
136487,Compal - Clássico Néctar Tutti Frutti 200ml,False,"DAAG-FOOD SOLUTIONS, LDA - VENDING GO",BEBIDA FRIA,ZUMO,
137912,CAFE RISTRETTO INTENSO TUBO,False,NESPRESSO,BEBIDA CALIENTE,CAPSULA,
138313,ACTIVIA MIX&GO MUESLI Y FRAMBUESA X1,False,DANONE,PRODUCTO FRESCO,YOGURT,
138549,"VICHY CATALAN LATA SLEEK 0,33L",False,"PREMIUM MIX GROUP,  S.L.",BEBIDA FRIA,AGUA,
138715,PALETINA DE MADERA AUTOMATICA 90 MM - AEV,False,,BEBIDA CALIENTE,PALETINAS,
138869,ÑAMING TCUIDA VEGETAL & ATUN 130G,False,ÑAMING,PRODUCTO FRESCO,REFERENCIAS SALUDABLES,
139981,COLACAO SHAKE,False,CALIDAD PASCUAL,BEBIDA FRIA,BEBIDA LÁCTEA,
139984,COLACAO SHAKE 0%,False,CALIDAD PASCUAL,BEBIDA FRIA,BEBIDA LÁCTEA,
14030,"AGUA FONT VELLA PET 6,25L",False,AGUAS DANONE S.A.,BEBIDA CALIENTE,AGUA AUTOALIMENTACIÓN,
14031,"AGUA FONT VELLA PET 1,5L",False,AGUAS DANONE S.A.,BEBIDA FRIA,"AGUA 1,5L",
140807,AGUA ONLY WATER TETRA PRISMA 50CL,False,AQUALY,BEBIDA FRIA,AGUA,
140834,MRCORN MIX5,False,GREFUSA,SNACK,FRUTO SECO,
140980,VASOS BAMBU 12OZ BOCA 80MM (360ML),False,"BARA EZQUERRA, S.A.",BEBIDA CALIENTE,VASOS,
141136,MOMENT CHOCO STAR,False,GULLON,SNACK,GALLETA,
141192,ENSALADA RUSA CON ATUN (1R) PACK,False,CASA MAS S.L.,PRODUCTO FRESCO,PLATOS 5 GAMA,
141194,TALLARINES AL ESTILO ORIENTAL (1R),False,CASA MAS S.L.,PRODUCTO FRESCO,PLATOS 5 GAMA,
141196,TORTELLINI BOLOÑESA (1R),False,CASA MAS S.L.,PRODUCTO FRESCO,PLATOS 5 GAMA,
141197,PASTEL FRIO DE ATUN (1R),False,CASA MAS S.L.,PRODUCTO FRESCO,PLATOS 5 GAMA,
14151,ÑAMING BRIOCHE MIXTO 2U X 60G,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
141604,RAVIOLIS CON CARNE Y TOMATE,False,IND. ALIMENTARIAS NAVARRA S.A.,PRODUCTO FRESCO,PLATOS 5 GAMA,
14172,COMERCIO JUSTO ESPRESSO BAR 1000G – UTZ,False,GIMOKA,BEBIDA CALIENTE,CAFÉ,
141839,ÑAMING BRIOCHE DE JAMON SERRANO (2unidades),False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
142348,ESTRELLA LEVANTE LATA,False,DAMM,BEBIDA FRIA,CERVEZA,
142349,ESTRELLA LEVANTE SIN LATA 1/3 4xPACK 6,False,DAMM,BEBIDA FRIA,CERVEZA,
142862,Snacks de fruta Born piña 30grs,False,NUTRIGER SOLUTIONS SL,SNACK SALUDABLE,DESHIDRATADOS,
142863,Snacks de fruta Born coco 30grs,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
142864,Snacks de fruta Born mango 30grs,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
142865,SNACK MANZANA SEMIDESHIDRATADA 30G,False,NUTRIGER SOLUTIONS SL,SNACK SALUDABLE,DESHIDRATADOS,
14320,ÑAMING CROISSANT CHORIZO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
14323,ÑAMING CROISSANT JAMON QUESO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
14344,DORITOS TEX-MEX 44G,False,PEPSICO,SNACK,PATATAS,
14372,FANTA ZER LIM LATA33 C24,False,COCA COLA,BEBIDA FRIA,LATAS SIN AZUCAR,
144290,CAFE ILLY MPS HOME  CLASICO CAPSULA,False,ILLY,BEBIDA CALIENTE,CAPSULA,
144422,PICK.AGIT. MADERA ENFUND IND. 14CM ESTUC,False,"TECNOPACKING, S.L.",BEBIDA CALIENTE,PALETINAS,
144536,CUADRADO TRUFA,False,VICKY FOODS PRODUCTS,SNACK,BOLLERÍA,
144635,TE ESSENTIAL CELOFAN,False,CAFES CANDELAS,BEBIDA CALIENTE,TÉ,
144648,TILA ESSENTIAL CELOFAN,False,CAFES CANDELAS,BEBIDA CALIENTE,TÉ,
144649,CANDELAS TE VERDE SOBRE,False,CAFES CANDELAS,BEBIDA CALIENTE,TÉ,
144650,CANDELAS TE ROJO SOBRE,False,CAFES CANDELAS,BEBIDA CALIENTE,TÉ,
144655,Pickwick Rooibos 2grs estuchadas 75 sobre,False,JACOBS DOUWE EGBERTS ES S.L.U,BEBIDA CALIENTE,TÉ,
144658,CANDELAS MANZANILLA SOBRE,False,CAFES CANDELAS,BEBIDA CALIENTE,TÉ,
144873,CHOCOLATINA FOUNDANT COMERCIO JUSTO,False,SCHARD,SNACK,CHOCOLATINA,
14549,LECHE ENTERA MICROTARRINA 14ML,False,CALIDAD PASCUAL,BEBIDA CALIENTE,LECHE,
145594,BARRITA ALMENDRAS CHOCO NEGRO Y SAL 40G,False,MARS,SNACK,BARRITA,
145595,BARRITA ALMENDRAS CARAMELO Y SAL 40G,False,MARS,SNACK,BARRITA,
145596,BARRITA CACAHUETES Y CHOCOLATE NEGRO 40G,False,MARS,SNACK,BARRITA,
145695,CANDELAS MENTA-POLEO SOBRE,False,CAFES CANDELAS,BEBIDA CALIENTE,TÉ,
145696,INF TE NEGRO BREAK CF BOLSA COM JUST 2G,False,JACOBS DOUWE EGBERTS ES S.L.U,BEBIDA CALIENTE,TÉ,
14656,MIKADO CHOCOLATE NEGRO,False,"MONDELEZ ESPAÑA COMMERCIAL, S.L.",SNACK,GALLETA,
14720,NESTEA LATA33 S/A  C24,False,COCA COLA,BEBIDA FRIA,LATAS,
14787,PATATA RUFFLES JAMON  31G,False,PEPSICO,SNACK,PATATAS,
14948,ÑAMING GO! ATUN 140G,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
14952,ÑAMING GO! CANGREJO 140G,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
14954,ÑAMING GO! CHORIZO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
14955,ÑAMING EMPANADA DE ATUN,False,ÑAMING,PRODUCTO FRESCO,SANDWICH GOURMET,
149564,MINI CHOCO CHIPS BIO,False,GULLON,SNACK,GALLETA,
149566,CHICLE FIVE SANDIA S/AZUCAR  E16 X 24G,False,MARS,SNACK,CHICLE & CARAMELOS,
14962,ÑAMING GO! ENSALADA DE PAVO 140G,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
151466,VASO PAPEL 7 OZ(200 ML) KR-KR 72mm,False,"TECNOPACKING, S.L.",BEBIDA CALIENTE,VASOS,
151526,ORBIT MENTA GRAGEA S/ AZUCAR PACK 30,False,MARS,SNACK,CHICLE & CARAMELOS,
151527,ORBIT MENTA SIN AZUCAR 3 PACKS,False,MARS,SNACK,CHICLE & CARAMELOS,
152968,ACTIVIA  NATURAL 120G,False,DANONE,PRODUCTO FRESCO,YOGURT,
154123,ANACARDOS CRU ECO ESECO019CT 110G-9U,False,"FRIT RAVICH, S. L.",SNACK SALUDABLE,FRUTO SECO,
154446,SNATTS GUISANTE QUESO & ENELDO,False,GREFUSA,SNACK,HORNEADOS,
154449,NATUCHIPS TOM-QU-OREG 26G,False,GREFUSA,SNACK SALUDABLE,PATATAS,
154830,SET CUBIERTOS MADERA + SERV. BLAN 1X200,False,"TECNOPACKING, S.L.",VINIERON SIN CLASIFICAR,,
154855,ACTIVIA CON FRESA,False,DANONE,PRODUCTO FRESCO,YOGURT,
154865,ÑAMING GO! JAMON CREMOSO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
155570,KIWI TROCEADO VASO 100G 4ªGAMA,False,GUFRESCO,PRODUCTO FRESCO,FRUTA-VERDURA Y CREMAS,
155723,COCTEL ANTIOXIDANTE,False,"FRIT RAVICH, S. L.",SNACK SALUDABLE,FRUTO SECO,
155724,COCTEL CARDIOSALUDABLE 80 GR.,False,"FRIT RAVICH, S. L.",SNACK SALUDABLE,FRUTO SECO,
155780,NOGLUT T.ARROZ CHOCO.LECHE 8u,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
155790,GALLETAS DIGESTIVE ARANDANOS,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
155791,GALLETAS DIGESTIVE CACAO SIN AZUCAR,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
155793,TORT MAIZ CHOCO NEGRO S/A,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
156119,TORTILLA PATATA C/CEBOLLA MINI 200G,False,"G.EMPRESARIAL PALACIOS ALI, S.A.",PRODUCTO FRESCO,PLATOS 5 GAMA,
156122,BEBIDA DE AVENA C/CALCIO 200ML,False,ECOMIL,BEBIDA FRIA,ZUMO,
157019,BOCADILLO ARTESANO JAMON SERR Y PIMIENTO,False,ÑAMING,PRODUCTO FRESCO,BOCADILLO,
157040,BOCADILLO ARTESANO ATUN Y HUEVO,False,ÑAMING,PRODUCTO FRESCO,BOCADILLO,
157041,BLOOMER PAVO BRASEADO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
157042,BLOOMER POLLO ASADO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
157044,"ENSALADA DE PASTA, JAMON Y POLLO",False,ÑAMING,PRODUCTO FRESCO,PLATOS 5 GAMA,
157045,ENSALADA ARROZ QUINOA VEGANA 190G,False,ÑAMING,PRODUCTO FRESCO,ENSALADA,
157360,DIGESTIVE ARANDANOS SIN AZUCAR,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
157361,GALLETAS DIGESTIVE CACAO 0%,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
157362,NOGLUT DIGESTIVE CACAO,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
157363,GALLETA NOGLUT MARIA,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
157370,TORTITAS ARROZ CHOCO.LECHE S/A 2u Santiveri,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
157371,TORTITAS ARROZ CHOCO.NEGRO S/A 2u Santiveri,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
158114,LENTEJAS PARDINA ECOLÓGICAS GUISADA CON CHISTORRA,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158115,RIGATONI BOLOÑESA 100% TERNERA,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158116,JAMONCITOS POLLO FINA HIERBA Y PATATAS,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158118,CARRILLERA CERDO C/ CHICCHE DE PATATA S1,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158119,SALMON A LA CREMA HINOJ Y TRIG BULGUR S1,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158120,"HAMBURGUESA TERNERA C/PARMENTIER PATATAS, PIM. Y CEBOLLA",False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158121,"POLLO TANDOORI, ARRO BASMATI Y SESAMO S2",False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158122,"TORTELLONI RICOTA Y ESPINA,CREMA PERA S2",False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158124,ARROZ CON POLLO AL CURRY,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158125,"WOK NOODLES, POLLO TERIYAKI Y VERDURAS 0",False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
158127,PENNE RIGATTE CON POMODORO Y BASILICO,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
159106,AGUA SOLAN DE CABRAS LATA 33CL,False,"AGUAS DE SOLAN DE CABRAS, S.A.",BEBIDA FRIA,AGUA,
159279,PALETINA MADERA 90MM 100 und,False,"TECNOPACKING, S.L.",BEBIDA CALIENTE,PALETINAS,
159669,BOCADILLO JAMÓN SERRANO 130G,False,ROSENDO MILA,PRODUCTO FRESCO,BOCADILLO,
159691,BOCADILLO QUESO 120G,False,ROSENDO MILA,PRODUCTO FRESCO,BOCADILLO,
159692,BOCADILLO JAMON SERRANO Y QUESO 170G,False,ROSENDO MILA,PRODUCTO FRESCO,BOCADILLO,
159854,NUECES GRANO CRUDA 35G,False,"FRIT RAVICH, S. L.",SNACK SALUDABLE,FRUTO SECO,
160064,PIPAS GIRASOL CON SAL 40G-10U,False,"FRIT RAVICH, S. L.",SNACK,FRUTO SECO,
160072,BOCADILLO RUSTICO BACON Y QUESO 180G,False,ÑAMING,PRODUCTO FRESCO,BOCADILLO,
161019,CORNY CHOCOLATE 6X25G 10UN,False,"HERO ESPAÑA, S.A.",SNACK,CHOCOLATINA,
161031,CORNY CHOCO NEGRO 6X25G 10UN,False,"HERO ESPAÑA, S.A.",SNACK,CHOCOLATINA,
161351,ÑAMING SMOOTHIE FRESA Y MANZANA,False,ÑAMING,BEBIDA FRIA,ZUMO,
161353,SMOOTHIE MANGO MARACUYA,False,ÑAMING,BEBIDA FRIA,ZUMO,
161404,CHOCOLATE NEGRO 70% SIN AZUCAR,False,GREFUSA,SNACK,PRODUCTO GYM,
161407,FAVORITOS AZUCAR,False,GREFUSA,SNACK,CHICLE & CARAMELOS,
161408,FAVORITOS RED & WHITE 75G,False,HARIBO,SNACK,CHICLE & CARAMELOS,
161440,HARIBO FUNKY MIX,False,GREFUSA,SNACK,CHICLE & CARAMELOS,
161459,CAFE GRANO ROBUSTA 1KG,False,"TEYCOVAL 2010,S.L.",BEBIDA CALIENTE,CAFÉ,Café normal
161500,COMPATIBLES DESCAFEINADO ESTUCHE 10 UND,False,"PRODUCTOS CONTINENTAL, S.L.",BEBIDA CALIENTE,CAPSULA,
161501,CAPSULA COMPOSTABLE ECOLOGICO,False,"PRODUCTOS CONTINENTAL, S.L.",BEBIDA CALIENTE,CAPSULA,
161502,COMPATIBLES ESPRESSO ESTUCHE 10 UND,False,"PRODUCTOS CONTINENTAL, S.L.",BEBIDA CALIENTE,CAPSULA,
161825,AGUA FONT VELLA CON GAS PET 50CL,False,AGUAS DANONE S.A.,BEBIDA FRIA,AGUA,
162207,TRIANGULO DE CREMA,False,VICKY FOODS PRODUCTS,SNACK,BOLLERÍA,
162294,ÑAMING DELICIOUS CLUB POLLO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
